x,y,h
1,81,0
1,82,3
1,83,0
1,84,7
1,85,9
1,86,85
1,87,85
1,88,85
1,89,85
1,90,85
1,91,0
1,92,2
1,93,3
1,94,17
1,95,18
1,96,19
1,97,0
1,98,3
1,99,0
1,100,4
1,101,6
1,102,8
1,103,11
1,104,12
1,105,11
1,106,2
1,107,1
1,108,0
1,109,1
1,110,1
1,111,0
1,112,4
1,113,7
1,114,6
1,115,0
1,116,0
1,117,4
1,118,3
1,119,0
1,120,2
1,121,3
1,122,0
1,123,0
1,124,1
1,125,1
1,126,0
1,127,0
1,128,2
1,129,2
1,130,0
1,131,0
1,132,5
1,133,6
1,134,0
2,0,0
2,1,11
2,2,10
2,3,9
2,4,7
2,5,6
2,6,5
2,7,4
2,8,3
2,9,0
2,10,3
2,11,0
2,12,3
2,13,0
2,14,2
2,15,2
2,16,0
2,17,2
2,18,3
2,19,3
2,20,3
2,21,1
2,22,3
2,23,3
2,24,4
2,25,3
2,26,4
2,27,5
2,28,0
2,29,9
2,30,0
2,31,12
2,32,12
2,33,0
2,34,3
2,35,3
2,36,0
2,37,0
2,38,0
2,39,0
2,40,1
2,41,0
2,42,3
2,43,3
2,44,0
2,45,0
2,46,0
2,47,3
2,48,4
2,49,3
2,50,4
2,51,5
2,52,85
2,53,85
2,54,0
2,55,85
2,56,85
2,57,0
2,58,1
2,59,0
2,60,0
2,61,3
2,62,0
2,63,0
2,64,3
2,65,4
2,66,4
2,67,3
2,68,3
2,69,3
2,70,2
2,71,1
2,72,0
2,73,5
2,74,6
2,75,5
2,76,0
2,77,3
2,78,0
2,79,0
2,80,4
2,81,4
2,82,4
2,83,6
2,84,8
2,85,85
2,86,85
2,87,85
2,88,85
2,89,85
2,90,85
2,91,15
2,92,0
2,93,16
2,94,17
2,95,19
2,96,20
2,97,22
2,98,24
2,99,25
2,100,0
2,101,0
2,102,12
2,103,0
2,104,13
2,105,13
2,106,0
2,107,3
2,108,0
2,109,2
2,110,0
2,111,0
2,112,7
2,113,8
2,114,7
2,115,5
2,116,4
2,117,4
2,118,4
2,119,0
2,120,0
2,121,4
2,122,4
2,123,2
2,124,0
2,125,0
2,126,3
2,127,5
2,128,5
2,129,0
2,130,3
2,131,4
2,132,6
2,133,7
2,134,7
3,0,12
3,1,85
3,2,85
3,3,0
3,4,7
3,5,0
3,6,5
3,7,4
3,8,0
3,9,4
3,10,5
3,11,4
3,12,3
3,13,2
3,14,0
3,15,1
3,16,0
3,17,1
3,18,0
3,19,3
3,20,0
3,21,0
3,22,0
3,23,4
3,24,0
3,25,4
3,26,0
3,27,6
3,28,10
3,29,10
3,30,0
3,31,12
3,32,0
3,33,4
3,34,0
3,35,0
3,36,2
3,37,1
3,38,0
3,39,2
3,40,0
3,41,2
3,42,4
3,43,4
3,44,2
3,45,1
3,46,0
3,47,6
3,48,5
3,49,0
3,50,0
3,51,85
3,52,85
3,53,85
3,54,85
3,55,85
3,56,85
3,57,85
3,58,0
3,59,1
3,60,2
3,61,4
3,62,4
3,63,0
3,64,0
3,65,6
3,66,5
3,67,0
3,68,0
3,69,5
3,70,4
3,71,0
3,72,0
3,73,7
3,74,8
3,75,0
3,76,6
3,77,0
3,78,7
3,79,6
3,80,5
3,81,0
3,82,0
3,83,5
3,84,7
3,85,85
3,86,85
3,87,85
3,88,85
3,89,85
3,90,16
3,91,0
3,92,14
3,93,15
3,94,16
3,95,0
3,96,21
3,97,23
3,98,25
3,99,26
3,100,27
3,101,28
3,102,30
3,103,31
3,104,0
3,105,15
3,106,14
3,107,9
3,108,7
3,109,4
3,110,3
3,111,4
3,112,6
3,113,7
3,114,6
3,115,0
3,116,3
3,117,0
3,118,0
3,119,4
3,120,0
3,121,5
3,122,5
3,123,0
3,124,1
3,125,2
3,126,4
3,127,6
3,128,6
3,129,4
3,130,0
3,131,5
3,132,0
3,133,8
3,134,8
4,0,85
4,1,85
4,2,85
4,3,85
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,7
4,11,6
4,12,0
4,13,0
4,14,1
4,15,0
4,16,0
4,17,0
4,18,0
4,19,2
4,20,0
4,21,0
4,22,1
4,23,0
4,24,3
4,25,0
4,26,7
4,27,9
4,28,0
4,29,13
4,30,13
4,31,11
4,32,0
4,33,5
4,34,6
4,35,7
4,36,8
4,37,0
4,38,2
4,39,3
4,40,3
4,41,0
4,42,0
4,43,5
4,44,0
4,45,0
4,46,85
4,47,85
4,48,85
4,49,0
4,50,0
4,51,85
4,52,85
4,53,85
4,54,0
4,55,85
4,56,85
4,57,85
4,58,2
4,59,0
4,60,0
4,61,5
4,62,5
4,63,0
4,64,8
4,65,10
4,66,11
4,67,0
4,68,12
4,69,11
4,70,10
4,71,0
4,72,0
4,73,11
4,74,13
4,75,15
4,76,16
4,77,8
4,78,7
4,79,6
4,80,0
4,81,0
4,82,1
4,83,2
4,84,0
4,85,0
4,86,85
4,87,85
4,88,0
4,89,13
4,90,0
4,91,13
4,92,13
4,93,0
4,94,3
4,95,0
4,96,3
4,97,22
4,98,0
4,99,28
4,100,0
4,101,29
4,102,31
4,103,32
4,104,33
4,105,16
4,106,15
4,107,9
4,108,8
4,109,6
4,110,0
4,111,0
4,112,5
4,113,0
4,114,0
4,115,0
4,116,1
4,117,2
4,118,3
4,119,3
4,120,4
4,121,5
4,122,6
4,123,0
4,124,0
4,125,2
4,126,0
4,127,7
4,128,0
4,129,0
4,130,6
4,131,6
4,132,0
4,133,9
4,134,9
5,0,85
5,1,85
5,2,85
5,3,85
5,4,85
5,5,0
5,6,1
5,7,1
5,8,1
5,9,8
5,10,85
5,11,85
5,12,0
5,13,0
5,14,0
5,15,0
5,16,1
5,17,6
5,18,5
5,19,3
5,20,1
5,21,0
5,22,0
5,23,1
5,24,2
5,25,4
5,26,8
5,27,10
5,28,12
5,29,13
5,30,13
5,31,10
5,32,9
5,33,7
5,34,0
5,35,8
5,36,9
5,37,9
5,38,0
5,39,0
5,40,4
5,41,5
5,42,0
5,43,6
5,44,7
5,45,85
5,46,85
5,47,85
5,48,85
5,49,85
5,50,1
5,51,0
5,52,85
5,53,85
5,54,0
5,55,85
5,56,85
5,57,0
5,58,0
5,59,1
5,60,2
5,61,0
5,62,6
5,63,7
5,64,9
5,65,11
5,66,12
5,67,13
5,68,12
5,69,11
5,70,10
5,71,9
5,72,10
5,73,12
5,74,14
5,75,16
5,76,17
5,77,17
5,78,0
5,79,0
5,80,1
5,81,0
5,82,0
5,83,0
5,84,3
5,85,19
5,86,19
5,87,0
5,88,0
5,89,0
5,90,12
5,91,12
5,92,0
5,93,3
5,94,0
5,95,2
5,96,2
5,97,0
5,98,29
5,99,30
5,100,30
5,101,0
5,102,0
5,103,37
5,104,36
5,105,34
5,106,0
5,107,8
5,108,7
5,109,5
5,110,0
5,111,0
5,112,2
5,113,5
5,114,4
5,115,2
5,116,0
5,117,0
5,118,2
5,119,0
5,120,0
5,121,0
5,122,0
5,123,7
5,124,8
5,125,0
5,126,0
5,127,8
5,128,8
5,129,7
5,130,7
5,131,0
5,132,10
5,133,11
5,134,0
6,0,0
6,1,85
6,2,85
6,3,85
6,4,85
6,5,85
6,6,85
6,7,0
6,8,0
6,9,85
6,10,85
6,11,85
6,12,85
6,13,1
6,14,0
6,15,0
6,16,5
6,17,6
6,18,6
6,19,4
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
6,25,3
6,26,0
6,27,9
6,28,11
6,29,12
6,30,0
6,31,9
6,32,8
6,33,7
6,34,6
6,35,0
6,36,10
6,37,11
6,38,0
6,39,0
6,40,85
6,41,85
6,42,85
6,43,0
6,44,85
6,45,85
6,46,85
6,47,85
6,48,85
6,49,85
6,50,0
6,51,0
6,52,1
6,53,0
6,54,85
6,55,85
6,56,85
6,57,85
6,58,0
6,59,2
6,60,0
6,61,7
6,62,0
6,63,7
6,64,0
6,65,10
6,66,12
6,67,13
6,68,0
6,69,0
6,70,0
6,71,8
6,72,0
6,73,11
6,74,13
6,75,0
6,76,17
6,77,0
6,78,18
6,79,0
6,80,1
6,81,2
6,82,1
6,83,0
6,84,18
6,85,18
6,86,0
6,87,0
6,88,1
6,89,11
6,90,11
6,91,4
6,92,3
6,93,2
6,94,1
6,95,0
6,96,1
6,97,0
6,98,31
6,99,31
6,100,0
6,101,31
6,102,41
6,103,40
6,104,38
6,105,35
6,106,0
6,107,2
6,108,4
6,109,3
6,110,2
6,111,1
6,112,0
6,113,6
6,114,6
6,115,3
6,116,0
6,117,0
6,118,1
6,119,0
6,120,1
6,121,1
6,122,3
6,123,9
6,124,11
6,125,10
6,126,9
6,127,9
6,128,0
6,129,0
6,130,8
6,131,9
6,132,11
6,133,12
6,134,12
7,0,1
7,1,85
7,2,85
7,3,0
7,4,85
7,5,85
7,6,85
7,7,85
7,8,85
7,9,85
7,10,85
7,11,85
7,12,85
7,13,2
7,14,0
7,15,3
7,16,4
7,17,6
7,18,5
7,19,1
7,20,0
7,21,1
7,22,1
7,23,0
7,24,1
7,25,1
7,26,2
7,27,0
7,28,0
7,29,1
7,30,0
7,31,2
7,32,0
7,33,5
7,34,0
7,35,0
7,36,12
7,37,85
7,38,85
7,39,85
7,40,85
7,41,85
7,42,85
7,43,85
7,44,85
7,45,0
7,46,85
7,47,85
7,48,85
7,49,85
7,50,85
7,51,0
7,52,0
7,53,85
7,54,0
7,55,85
7,56,85
7,57,85
7,58,0
7,59,11
7,60,10
7,61,9
7,62,8
7,63,0
7,64,0
7,65,0
7,66,5
7,67,4
7,68,0
7,69,2
7,70,2
7,71,0
7,72,7
7,73,8
7,74,0
7,75,14
7,76,16
7,77,19
7,78,20
7,79,19
7,80,0
7,81,0
7,82,2
7,83,16
7,84,17
7,85,17
7,86,0
7,87,0
7,88,10
7,89,10
7,90,0
7,91,0
7,92,2
7,93,0
7,94,0
7,95,0
7,96,0
7,97,32
7,98,32
7,99,0
7,100,0
7,101,43
7,102,42
7,103,41
7,104,39
7,105,1
7,106,0
7,107,1
7,108,0
7,109,1
7,110,0
7,111,1
7,112,0
7,113,7
7,114,7
7,115,0
7,116,0
7,117,2
7,118,2
7,119,0
7,120,0
7,121,2
7,122,0
7,123,10
7,124,11
7,125,12
7,126,0
7,127,0
7,128,85
7,129,85
7,130,85
7,131,0
7,132,0
7,133,13
7,134,13
8,0,0
8,1,2
8,2,85
8,3,85
8,4,85
8,5,0
8,6,85
8,7,0
8,8,85
8,9,85
8,10,85
8,11,85
8,12,5
8,13,0
8,14,0
8,15,2
8,16,3
8,17,0
8,18,0
8,19,0
8,20,0
8,21,1
8,22,2
8,23,0
8,24,0
8,25,0
8,26,0
8,27,2
8,28,1
8,29,0
8,30,0
8,31,1
8,32,2
8,33,3
8,34,4
8,35,0
8,36,85
8,37,85
8,38,85
8,39,85
8,40,85
8,41,0
8,42,0
8,43,0
8,44,0
8,45,85
8,46,85
8,47,85
8,48,0
8,49,85
8,50,0
8,51,85
8,52,85
8,53,85
8,54,85
8,55,85
8,56,85
8,57,0
8,58,85
8,59,12
8,60,11
8,61,0
8,62,10
8,63,9
8,64,5
8,65,4
8,66,0
8,67,3
8,68,3
8,69,2
8,70,1
8,71,0
8,72,5
8,73,6
8,74,7
8,75,8
8,76,15
8,77,20
8,78,21
8,79,0
8,80,20
8,81,0
8,82,0
8,83,15
8,84,16
8,85,15
8,86,12
8,87,10
8,88,9
8,89,8
8,90,1
8,91,0
8,92,1
8,93,0
8,94,2
8,95,1
8,96,0
8,97,33
8,98,34
8,99,0
8,100,45
8,101,44
8,102,43
8,103,40
8,104,0
8,105,0
8,106,0
8,107,2
8,108,0
8,109,0
8,110,0
8,111,1
8,112,0
8,113,0
8,114,8
8,115,0
8,116,1
8,117,0
8,118,3
8,119,3
8,120,0
8,121,1
8,122,0
8,123,0
8,124,12
8,125,0
8,126,85
8,127,85
8,128,85
8,129,85
8,130,85
8,131,85
8,132,85
8,133,14
8,134,0
9,0,1
9,1,0
9,2,0
9,3,85
9,4,0
9,5,0
9,6,2
9,7,85
9,8,85
9,9,85
9,10,0
9,11,4
9,12,3
9,13,1
9,14,0
9,15,1
9,16,0
9,17,0
9,18,1
9,19,0
9,20,0
9,21,0
9,22,0
9,23,1
9,24,0
9,25,1
9,26,3
9,27,2
9,28,0
9,29,0
9,30,1
9,31,0
9,32,0
9,33,0
9,34,4
9,35,85
9,36,85
9,37,0
9,38,85
9,39,85
9,40,85
9,41,85
9,42,85
9,43,85
9,44,85
9,45,85
9,46,0
9,47,85
9,48,85
9,49,0
9,50,85
9,51,85
9,52,0
9,53,85
9,54,0
9,55,85
9,56,0
9,57,85
9,58,85
9,59,85
9,60,0
9,61,0
9,62,12
9,63,11
9,64,6
9,65,3
9,66,2
9,67,0
9,68,0
9,69,0
9,70,0
9,71,0
9,72,3
9,73,4
9,74,0
9,75,4
9,76,0
9,77,0
9,78,22
9,79,24
9,80,23
9,81,21
9,82,0
9,83,0
9,84,14
9,85,13
9,86,11
9,87,0
9,88,7
9,89,0
9,90,2
9,91,0
9,92,0
9,93,3
9,94,4
9,95,5
9,96,0
9,97,35
9,98,49
9,99,48
9,100,46
9,101,45
9,102,0
9,103,0
9,104,6
9,105,4
9,106,3
9,107,2
9,108,1
9,109,0
9,110,0
9,111,0
9,112,10
9,113,12
9,114,13
9,115,0
9,116,0
9,117,0
9,118,4
9,119,4
9,120,0
9,121,1
9,122,0
9,123,13
9,124,0
9,125,85
9,126,85
9,127,85
9,128,0
9,129,0
9,130,0
9,131,85
9,132,85
9,133,85
9,134,0
10,0,1
10,1,2
10,2,85
10,3,85
10,4,85
10,5,1
10,6,0
10,7,5
10,8,85
10,9,85
10,10,0
10,11,0
10,12,2
10,13,0
10,14,0
10,15,1
10,16,0
10,17,1
10,18,0
10,19,1
10,20,1
10,21,0
10,22,0
10,23,0
10,24,0
10,25,3
10,26,4
10,27,0
10,28,0
10,29,1
10,30,0
10,31,0
10,32,0
10,33,0
10,34,0
10,35,85
10,36,85
10,37,85
10,38,85
10,39,0
10,40,85
10,41,85
10,42,85
10,43,0
10,44,85
10,45,85
10,46,85
10,47,85
10,48,85
10,49,85
10,50,85
10,51,0
10,52,0
10,53,0
10,54,85
10,55,85
10,56,85
10,57,0
10,58,85
10,59,85
10,60,18
10,61,17
10,62,15
10,63,13
10,64,0
10,65,0
10,66,0
10,67,1
10,68,0
10,69,4
10,70,3
10,71,2
10,72,0
10,73,0
10,74,2
10,75,2
10,76,3
10,77,5
10,78,23
10,79,24
10,80,24
10,81,22
10,82,15
10,83,2
10,84,0
10,85,0
10,86,0
10,87,6
10,88,6
10,89,5
10,90,0
10,91,1
10,92,1
10,93,2
10,94,4
10,95,5
10,96,6
10,97,50
10,98,51
10,99,50
10,100,47
10,101,0
10,102,9
10,103,8
10,104,7
10,105,5
10,106,0
10,107,2
10,108,0
10,109,0
10,110,0
10,111,9
10,112,11
10,113,13
10,114,14
10,115,15
10,116,1
10,117,0
10,118,5
10,119,6
10,120,0
10,121,85
10,122,85
10,123,85
10,124,85
10,125,0
10,126,85
10,127,85
10,128,3
10,129,1
10,130,0
10,131,0
10,132,85
10,133,85
10,134,85
11,0,0
11,1,2
11,2,85
11,3,85
11,4,85
11,5,0
11,6,0
11,7,4
11,8,0
11,9,85
11,10,85
11,11,0
11,12,2
11,13,1
11,14,0
11,15,1
11,16,0
11,17,0
11,18,0
11,19,1
11,20,0
11,21,1
11,22,1
11,23,1
11,24,2
11,25,0
11,26,4
11,27,3
11,28,2
11,29,0
11,30,2
11,31,0
11,32,0
11,33,0
11,34,85
11,35,85
11,36,85
11,37,85
11,38,17
11,39,0
11,40,17
11,41,0
11,42,19
11,43,0
11,44,85
11,45,85
11,46,85
11,47,0
11,48,0
11,49,0
11,50,0
11,51,85
11,52,85
11,53,85
11,54,85
11,55,85
11,56,85
11,57,85
11,58,85
11,59,0
11,60,18
11,61,17
11,62,16
11,63,14
11,64,0
11,65,1
11,66,1
11,67,0
11,68,5
11,69,5
11,70,4
11,71,0
11,72,1
11,73,0
11,74,1
11,75,0
11,76,0
11,77,4
11,78,6
11,79,24
11,80,23
11,81,16
11,82,14
11,83,0
11,84,1
11,85,0
11,86,0
11,87,0
11,88,5
11,89,4
11,90,2
11,91,0
11,92,0
11,93,0
11,94,0
11,95,0
11,96,0
11,97,52
11,98,52
11,99,51
11,100,12
11,101,11
11,102,9
11,103,8
11,104,6
11,105,1
11,106,0
11,107,0
11,108,3
11,109,5
11,110,8
11,111,9
11,112,0
11,113,12
11,114,15
11,115,16
11,116,17
11,117,0
11,118,7
11,119,8
11,120,85
11,121,85
11,122,85
11,123,85
11,124,85
11,125,0
11,126,85
11,127,85
11,128,0
11,129,2
11,130,0
11,131,85
11,132,85
11,133,85
11,134,85
12,0,0
12,1,0
12,2,0
12,3,85
12,4,85
12,5,85
12,6,5
12,7,0
12,8,3
12,9,0
12,10,85
12,11,85
12,12,0
12,13,2
12,14,0
12,15,0
12,16,1
12,17,0
12,18,1
12,19,0
12,20,0
12,21,1
12,22,0
12,23,0
12,24,2
12,25,3
12,26,0
12,27,0
12,28,85
12,29,85
12,30,85
12,31,85
12,32,85
12,33,85
12,34,85
12,35,85
12,36,85
12,37,0
12,38,16
12,39,0
12,40,16
12,41,18
12,42,18
12,43,0
12,44,85
12,45,85
12,46,85
12,47,85
12,48,0
12,49,85
12,50,85
12,51,0
12,52,85
12,53,85
12,54,85
12,55,85
12,56,85
12,57,0
12,58,85
12,59,0
12,60,0
12,61,16
12,62,15
12,63,5
12,64,3
12,65,0
12,66,0
12,67,4
12,68,6
12,69,7
12,70,0
12,71,0
12,72,3
12,73,2
12,74,0
12,75,0
12,76,1
12,77,0
12,78,3
12,79,0
12,80,0
12,81,0
12,82,13
12,83,12
12,84,2
12,85,0
12,86,1
12,87,0
12,88,1
12,89,0
12,90,3
12,91,0
12,92,1
12,93,0
12,94,0
12,95,1
12,96,3
12,97,53
12,98,53
12,99,0
12,100,11
12,101,10
12,102,0
12,103,0
12,104,0
12,105,0
12,106,0
12,107,0
12,108,4
12,109,6
12,110,7
12,111,8
12,112,10
12,113,11
12,114,0
12,115,18
12,116,20
12,117,22
12,118,23
12,119,0
12,120,85
12,121,85
12,122,85
12,123,85
12,124,85
12,125,85
12,126,85
12,127,85
12,128,85
12,129,0
12,130,85
12,131,85
12,132,85
12,133,85
12,134,4
13,0,1
13,1,0
13,2,0
13,3,85
13,4,85
13,5,85
13,6,85
13,7,0
13,8,2
13,9,3
13,10,85
13,11,85
13,12,3
13,13,1
13,14,1
13,15,1
13,16,0
13,17,85
13,18,85
13,19,0
13,20,0
13,21,0
13,22,0
13,23,1
13,24,0
13,25,3
13,26,0
13,27,85
13,28,85
13,29,85
13,30,85
13,31,85
13,32,85
13,33,85
13,34,0
13,35,85
13,36,85
13,37,85
13,38,0
13,39,15
13,40,0
13,41,17
13,42,18
13,43,17
13,44,0
13,45,85
13,46,0
13,47,85
13,48,85
13,49,85
13,50,85
13,51,0
13,52,85
13,53,85
13,54,0
13,55,85
13,56,85
13,57,85
13,58,85
13,59,0
13,60,12
13,61,0
13,62,0
13,63,4
13,64,2
13,65,1
13,66,0
13,67,3
13,68,7
13,69,7
13,70,6
13,71,4
13,72,4
13,73,3
13,74,0
13,75,0
13,76,0
13,77,2
13,78,2
13,79,1
13,80,1
13,81,0
13,82,3
13,83,12
13,84,11
13,85,0
13,86,2
13,87,0
13,88,1
13,89,0
13,90,4
13,91,4
13,92,0
13,93,2
13,94,0
13,95,2
13,96,0
13,97,54
13,98,54
13,99,8
13,100,7
13,101,6
13,102,4
13,103,0
13,104,1
13,105,0
13,106,1
13,107,0
13,108,5
13,109,0
13,110,0
13,111,0
13,112,0
13,113,9
13,114,10
13,115,19
13,116,21
13,117,22
13,118,23
13,119,24
13,120,26
13,121,85
13,122,85
13,123,0
13,124,85
13,125,85
13,126,85
13,127,85
13,128,85
13,129,85
13,130,85
13,131,85
13,132,0
13,133,3
13,134,0
14,0,0
14,1,2
14,2,85
14,3,85
14,4,0
14,5,85
14,6,85
14,7,3
14,8,0
14,9,1
14,10,0
14,11,85
14,12,0
14,13,0
14,14,0
14,15,0
14,16,85
14,17,85
14,18,85
14,19,85
14,20,1
14,21,0
14,22,0
14,23,0
14,24,0
14,25,4
14,26,5
14,27,85
14,28,85
14,29,85
14,30,85
14,31,0
14,32,85
14,33,85
14,34,85
14,35,85
14,36,85
14,37,85
14,38,15
14,39,14
14,40,0
14,41,14
14,42,0
14,43,15
14,44,16
14,45,17
14,46,85
14,47,85
14,48,85
14,49,85
14,50,85
14,51,85
14,52,85
14,53,85
14,54,0
14,55,85
14,56,85
14,57,85
14,58,85
14,59,13
14,60,12
14,61,11
14,62,10
14,63,0
14,64,0
14,65,0
14,66,2
14,67,0
14,68,0
14,69,6
14,70,5
14,71,0
14,72,0
14,73,3
14,74,2
14,75,1
14,76,0
14,77,1
14,78,0
14,79,0
14,80,0
14,81,0
14,82,2
14,83,0
14,84,11
14,85,10
14,86,9
14,87,8
14,88,0
14,89,5
14,90,5
14,91,0
14,92,5
14,93,4
14,94,3
14,95,0
14,96,55
14,97,55
14,98,0
14,99,0
14,100,0
14,101,5
14,102,3
14,103,0
14,104,1
14,105,2
14,106,2
14,107,4
14,108,6
14,109,7
14,110,1
14,111,0
14,112,1
14,113,7
14,114,8
14,115,0
14,116,20
14,117,21
14,118,0
14,119,0
14,120,25
14,121,0
14,122,0
14,123,31
14,124,85
14,125,85
14,126,85
14,127,85
14,128,0
14,129,85
14,130,85
14,131,0
14,132,0
14,133,2
14,134,1
15,0,0
15,1,85
15,2,85
15,3,0
15,4,85
15,5,85
15,6,0
15,7,4
15,8,0
15,9,0
15,10,0
15,11,85
15,12,85
15,13,0
15,14,0
15,15,1
15,16,85
15,17,85
15,18,85
15,19,85
15,20,0
15,21,1
15,22,2
15,23,3
15,24,4
15,25,5
15,26,0
15,27,0
15,28,85
15,29,85
15,30,0
15,31,3
15,32,4
15,33,0
15,34,85
15,35,85
15,36,85
15,37,0
15,38,14
15,39,13
15,40,0
15,41,13
15,42,14
15,43,0
15,44,2
15,45,0
15,46,85
15,47,85
15,48,0
15,49,85
15,50,85
15,51,85
15,52,0
15,53,85
15,54,0
15,55,0
15,56,85
15,57,85
15,58,85
15,59,0
15,60,0
15,61,11
15,62,10
15,63,9
15,64,0
15,65,1
15,66,0
15,67,1
15,68,0
15,69,3
15,70,2
15,71,0
15,72,0
15,73,0
15,74,2
15,75,0
15,76,0
15,77,0
15,78,0
15,79,0
15,80,1
15,81,2
15,82,1
15,83,0
15,84,3
15,85,10
15,86,9
15,87,8
15,88,7
15,89,6
15,90,0
15,91,6
15,92,5
15,93,0
15,94,85
15,95,85
15,96,85
15,97,0
15,98,0
15,99,7
15,100,6
15,101,0
15,102,0
15,103,2
15,104,0
15,105,0
15,106,0
15,107,3
15,108,7
15,109,7
15,110,6
15,111,0
15,112,0
15,113,5
15,114,6
15,115,5
15,116,0
15,117,0
15,118,1
15,119,1
15,120,0
15,121,26
15,122,28
15,123,30
15,124,0
15,125,85
15,126,85
15,127,39
15,128,0
15,129,6
15,130,0
15,131,8
15,132,3
15,133,2
15,134,0
16,0,1
16,1,85
16,2,85
16,3,85
16,4,85
16,5,8
16,6,0
16,7,5
16,8,5
16,9,0
16,10,0
16,11,85
16,12,85
16,13,85
16,14,85
16,15,0
16,16,0
16,17,85
16,18,85
16,19,0
16,20,0
16,21,0
16,22,2
16,23,3
16,24,0
16,25,0
16,26,6
16,27,11
16,28,12
16,29,12
16,30,0
16,31,2
16,32,0
16,33,4
16,34,4
16,35,0
16,36,0
16,37,2
16,38,0
16,39,0
16,40,12
16,41,13
16,42,12
16,43,0
16,44,1
16,45,0
16,46,85
16,47,85
16,48,0
16,49,0
16,50,0
16,51,85
16,52,85
16,53,85
16,54,0
16,55,85
16,56,85
16,57,85
16,58,0
16,59,0
16,60,2
16,61,8
16,62,9
16,63,8
16,64,5
16,65,2
16,66,0
16,67,1
16,68,2
16,69,0
16,70,0
16,71,1
16,72,0
16,73,1
16,74,0
16,75,0
16,76,1
16,77,1
16,78,2
16,79,4
16,80,3
16,81,0
16,82,0
16,83,2
16,84,0
16,85,0
16,86,0
16,87,0
16,88,0
16,89,8
16,90,7
16,91,0
16,92,0
16,93,85
16,94,85
16,95,85
16,96,85
16,97,85
16,98,85
16,99,8
16,100,7
16,101,0
16,102,0
16,103,3
16,104,3
16,105,0
16,106,0
16,107,0
16,108,0
16,109,6
16,110,5
16,111,3
16,112,0
16,113,0
16,114,4
16,115,3
16,116,1
16,117,0
16,118,0
16,119,2
16,120,0
16,121,27
16,122,29
16,123,0
16,124,34
16,125,37
16,126,38
16,127,37
16,128,0
16,129,5
16,130,7
16,131,8
16,132,7
16,133,0
16,134,1
17,0,0
17,1,85
17,2,85
17,3,85
17,4,0
17,5,0
17,6,7
17,7,6
17,8,0
17,9,85
17,10,85
17,11,85
17,12,85
17,13,85
17,14,85
17,15,85
17,16,85
17,17,0
17,18,85
17,19,85
17,20,1
17,21,0
17,22,0
17,23,0
17,24,1
17,25,0
17,26,7
17,27,10
17,28,11
17,29,10
17,30,3
17,31,1
17,32,0
17,33,0
17,34,3
17,35,0
